tanggal_baca,clean_author,clean_text,like_count,id,word_count
2026-01-28 07:00:00,@evan5808,"Bodo amat mo negara ini mo perang mo hancur jg alhamdulilah. Krn ngapain jg rakyat hrs susah2 jagain negara ini dr penjajah asing, toh mereka pemerintah kt jg penjajah di negara sndiri. Sejarah Negara ini bs merdeka krn rakyatnya terjun kemedan perang, krn itulah negara asing takut, segan utk kembali menjajah negara kt. Tapi krn sifat serakah pemerintah, dan mereka merasa negara ini sdh aman. Jd mereka meninggalkan&melupakan rakyat terutama(rakyat miskin). Jd smg aja bnr2 terjadi perang dunia. Krn sy yakin rakyat sangat senang krn rakyat jg udh capek, lelah hidup dinegara miskin yg pemerintahnya hanya memkirkan diri sndiri&kpentingan kel mereka aja. Jd klo perang nanti, ya sruh preaiden, DPR, TNI, POLRI dan pejabat2 pemerintah aja lah yg turun ke medan perang, saya jamin rakyat gak akan sanggup dan mau turun ke mwdan perang krn mereka lapar dan terlalu miskin utk turun membantu ke medan perang. Monggo silahkan klian yg merasa keluarga pejabat, menteri dan dinas2 terkait saatnya klian membalas jasa negara yg sdh memberikan kebutuhan2 klian selama ini. 😂😂",2,UgyMhYGWRRc83y-ptJh4AaABAg,170
2026-01-28 07:00:00,@adisusilo9327,"Judulnya ""antek asing triak antek asing""",0,UgwF5RMZ-qpI8Qb3VLF4AaABAg,6
2026-01-28 07:00:00,@TiopanPanggabean,"Tim Tempo bahas Kamboja lagi dong, ini ada sekitar 2400 lebih warga kita di KBRI Phonm Phen yg menunggu nasib.. Dan ada wacana judol dan scam akan pindah ke Sri Lanka atau Timor-Leste",0,UgzNdMrHnDVaSMhkpRV4AaABAg,33
2026-01-28 07:00:00,@KhairilAnwar-u2k1t,Hahahaha Indonesia korupsi maju sampai kiamat,0,Ugw9IUxf_Wv5Rz8bfKZ4AaABAg,6
2026-01-28 07:00:00,@kuncungbawuk5969,Lengserkan segera biar ga tambah parah,0,UgyDr773-rYHgBY3Xl54AaABAg,6
2026-01-28 07:00:00,@AzizahAzizah-v4d,"Sy sarankan ya...lebih baik tiarap az..bilangi bos kaliyan..
Bisa jadi Tidak lama lagi akan ada informasi aliran uang asing ke tempo...dan rakyat dibuat marah ke tempo..lalu di segel rakyat lah..
Trus kaliyan bisa apa???😂😂😂",2,UgyVrFLQuoQTVQE9MFl4AaABAg,34
2026-01-28 07:00:00,@AzizahAzizah-v4d,Tempo kepanasan..merasa kali 😂😂😂,2,Ugwzkk3SLyW9qoIuPtF4AaABAg,4
2026-01-28 07:00:00,@satubarkah3904,Musuh brsm ya jokowi dan gerombolannya. Yg publik blm phm apakah prabowo bagian dr termul bkn....!!??,0,UgzKsqdNYd-WoG_WfTB4AaABAg,16
2026-01-28 07:00:00,@sinsyafiuddin3379,Nanti akan ada masanya rakyat indonesia bilang salah satu presiden terbaik indonesia adalah prabowo! Dan 3 orang itu tidak lebih baik dari prabowo,0,UgzBwVgGyVlc7ksjCFF4AaABAg,23
2026-01-28 07:00:00,@ariwidianto6504,Antek setan 😂,0,Ugwo0Wg4k8AzLm2RzHp4AaABAg,3
